1,210,200,30,1
1,170,110,27,7
2,135,110,110,5
2,105,105,100,2
3,208,140,18,5
3,90,90,75,1
4,115,65,35,1
5,250,190,53,3
6,225,80,35,2
6,140,140,48,2
7,320,240,70,1
7,292,166,87,1
8,228,148,26,2
9,310,200,55,1
9,154,117,20,1
10,208,140,18,1
12,230,80,20,2
13,350,235,92,5
13,340,250,100,5
15,90,85,25,2
16,232,128,30,1
18,160,120,40,5
19,310,210,118,2
19,115,115,50,1
20,234,143,79,1
21,154,117,20,1
22,188,124,50,5
23,208,142,30,1
23,155,101,70,1
23,140,131,130,1
24,255,105,53,3
25,290,190,60,3
25,182,153,25,1
26,296,206,59,1
26,250,170,45,1
26,247,175,53,2
26,169,169,106,2
27,292,192,43,3
27,280,195,30,2
28,246,208,40,5
29,297,183,122,6
30,102,96,48,3
31,375,265,40,4
32,188,135,135,1
33,260,78,35,1
33,230,130,45,2
33,230,80,20,1
34,260,175,75,1
36,144,108,8,1
36,120,110,10,1
37,135,90,78,4
38,218,106,35,1
38,143,143,42,1
38,120,68,20,3
39,190,125,92,8
40,173,129,129,1
40,110,100,80,1
41,290,195,70,2
41,200,135,60,1
41,200,135,60,1
41,160,115,53,1
41,158,113,50,1
41,158,112,50,3
42,300,85,44,1
43,245,135,70,1
43,150,80,70,1
43,140,132,110,1
44,320,95,22,2
44,320,95,20,2
44,305,210,60,3
44,266,116,96,2
44,230,140,50,2
44,225,132,66,2
44,220,70,25,2
44,208,145,105,2
44,185,140,60,1
44,165,70,10,5
44,151,145,110,1
45,230,150,45,3
46,244,180,112,2
47,345,278,85,2
48,190,125,92,8
49,180,120,35,3
50,257,130,81,1
50,198,161,30,2
50,176,67,67,2
50,138,70,70,2
51,345,232,100,1
51,265,177,45,2
52,200,165,55,2
53,268,153,60,21
54,140,88,88,4
55,190,125,92,8
56,235,233,75,2
57,250,180,5,2
57,185,150,50,1
58,135,40,15,1
59,165,55,30,1
60,65,60,20,3
61,114,76,76,2
62,98,70,70,2
64,176,123,35,4
64,155,100,18,2
64,105,105,65,1
65,390,265,40,1
65,256,195,65,2
65,255,180,5,1
65,235,110,56,1
65,223,125,120,1
65,220,74,30,1
65,200,165,58,1
65,180,150,25,1
66,320,230,90,2
66,320,228,90,1
66,260,230,75,2
66,230,40,30,2
67,265,190,73,8
67,85,60,12,20
68,300,195,65,1
68,290,169,50,1
68,262,178,63,1
68,247,154,121,1
68,224,164,10,2
68,220,133,70,1
68,210,153,40,2
68,175,175,96,1
69,375,265,40,2
69,235,220,45,3
69,230,200,43,2
69,220,200,60,3
69,210,195,38,2
70,238,122,73,8
71,246,109,58,1
72,190,130,130,2
73,235,110,56,14
74,290,200,30,1
74,228,170,32,1
74,210,160,36,1
74,202,147,30,1
74,195,102,40,2
75,254,186,51,2
75,245,107,65,1
76,248,157,47,1
77,268,193,58,1
78,165,55,30,1
79,220,165,55,1
80,346,233,80,1
80,250,172,58,1
80,160,150,50,3
80,157,155,70,2
82,190,96,60,6
83,210,205,71,1
83,210,140,70,1
84,295,160,45,1
85,190,96,60,6
86,296,247,74,10
86,250,190,50,2
86,160,150,40,5
87,203,140,23,10
88,110,90,80,1
89,175,165,140,2
89,170,140,130,2
91,136,86,86,1
92,150,80,68,2
92,79,69,65,1
93,320,215,36,2
94,290,245,76,1
95,230,175,77,1
96,244,158,111,1
97,208,140,18,1
98,140,87,20,3
99,130,105,60,2
100,233,174,52,2
101,176,147,42,5
101,85,60,12,6
102,340,205,93,2
103,220,160,45,1
104,255,177,55,2
105,240,200,110,2
105,160,109,40,2
106,208,140,18,1
107,257,153,30,2
108,290,200,30,1
108,245,158,20,2
108,221,158,50,1
108,125,115,10,1
109,310,165,80,2
110,265,184,20,2
110,125,92,92,2
111,208,140,18,1
111,140,40,10,5
112,70,55,20,3
113,250,237,45,1
113,240,200,80,1
114,160,80,35,3
115,165,86,44,4
116,205,145,40,4
117,133,114,8,2
118,340,205,93,2
119,178,130,130,2
120,145,91,91,2
120,140,80,70,2
121,160,92,92,1
122,190,105,87,2
122,156,155,40,2
123,260,165,72,1
123,257,153,56,1
124,225,95,80,4
124,225,86,79,2
125,240,215,89,1
126,225,95,80,2
126,225,86,79,3
127,304,236,105,4
128,305,160,92,1
128,265,160,150,1
129,255,187,55,2
129,210,158,50,2
130,240,110,60,2
130,236,172,55,1
130,195,144,43,1
130,190,145,50,2
130,133,106,53,1
130,120,105,55,2
131,145,95,95,4
132,215,60,60,3
132,160,116,50,4
132,130,130,46,1
133,240,200,112,2
134,340,300,70,1
134,312,221,100,1
134,310,213,77,1
134,300,195,129,1
134,290,212,141,1
134,290,210,140,1
134,290,195,60,1
135,290,210,70,1
135,288,208,58,1
135,194,84,84,1
136,270,195,65,2
136,255,155,155,1
137,346,233,80,1
137,259,183,42,1
137,245,205,40,1
137,223,125,120,1
138,239,176,45,1
138,220,175,45,2
138,200,150,65,1
140,160,67,67,6
141,198,157,38,16
142,185,175,100,2
143,330,115,40,1
143,273,229,38,1
144,245,107,65,1
144,205,150,20,2
144,204,148,38,2
144,204,48,15,2
144,202,147,30,2
144,200,149,55,1
145,350,267,70,1
145,345,266,88,1
146,220,135,68,2
147,259,183,42,1
147,255,180,5,1
147,235,110,56,1
147,223,125,120,1
147,200,180,50,1
147,180,150,25,1
148,245,175,65,1
148,245,110,67,1
148,222,156,30,1
148,205,150,20,1
148,200,149,55,1
148,175,172,65,1
149,208,140,18,4
150,268,153,55,5
150,257,153,56,1
151,217,160,37,1
152,282,203,48,2
152,280,210,32,1
152,250,178,10,1
152,210,150,38,2
152,204,147,30,1
152,203,150,25,1
153,270,155,80,1
154,220,170,45,2
154,210,150,65,2
154,180,140,60,2
154,170,140,40,2
154,150,85,50,2
155,312,221,100,2
156,375,265,40,1
156,260,210,85,1
156,215,190,70,1
158,330,115,40,2
160,185,100,55,3
160,185,100,55,3
161,234,85,31,9
161,212,192,50,2
161,211,192,52,2
161,182,128,29,2
162,193,130,48,7
